author_id,created_at,text
1794942078977441792,2024-11-15 00:43:01+00:00,"RT @BRICSinfo: 🇨🇳 Nanjing, China

What do you notice? 
 https://t.co/jJbvqjBx2j"
1445119333739507718,2024-11-15 00:43:01+00:00,"RT @aldiaperucom: #ParoNacional: Madres peruanas, ustedes nos dan fuerzas para informar. Su lucha diaria nos lleva hacia adelante!

dina bo…"
994193005,2024-11-15 00:43:01+00:00,AUDI launches E concept sportback car with curved pillar-to-pillar 4K touch display: https://t.co/lvAInXFCoh
294133607,2024-11-15 00:43:00+00:00,"RT @nometiente2: @CarlosFGalan Gracias a Dios, tenemos nuestro metro en China, ya casi."
1021812479590977537,2024-11-15 00:43:00+00:00,"RT @suchnerve: conservative: “FUCK YOUR FEELINGS FUCK DEI THERE ARE ONLY 2 GENDERS BUILD THE WALL NO MORE CHINA LOL GET REKT GROOMER”

us:…"
277832342,2024-11-15 00:43:00+00:00,"@Jacinta_Camila @mario_dico50 @rochamoya_ Pues entonces , quiérete tantito y deja de leerlo, porque eso se considera  masooooquismoo aquí y en china 🤷🏼‍♀️🙄🤦🏼‍♀️😎"
1218626950006280194,2024-11-15 00:43:00+00:00,"@verdeembeleso @ChinaEmbPeru @lalineape @OBROJ33 @perruqueo @mirecarhuas @AlexFebrero_ @luchon1994 @aventurerope2 @BlazeMc100 @MelRodr68987891 Si claro, a China y a Xi Jinping le importa mucho la vida de unos tahuantinsuyanos. 
Si claro, se nota que al mundo le importa mucho lo que pasa en este país 🤡 https://t.co/WE6MtP0aBk"
1684552986557845506,2024-11-15 00:43:00+00:00,"Zhang hao know his fans Worried about his future career and he must trying to do his best for every chance he got, even if kr not give him much opportunity, China is a big country and honestly I love cdramas more than kdramas, I can only watch one good kdramas at one time+"
552923737,2024-11-15 00:42:59+00:00,My conspiracy is the Ukraine war is fake. That Russia and NATO/U.S. are actually allies and Ukraine is just a ruse to assemble a joint war machine in preparation for a real war (with China).
1529195788856860672,2024-11-15 00:42:59+00:00,"@Febo_Olimpo @Pedropetryy @blog_formula1 Hahaha com o declínio dos EUA e do mundo ocidental eu quero ver a ordem natural sim, Rússia e China são países que abominam esse lixo woke."
1351019156779507714,2024-11-15 00:42:59+00:00,"fragile US-China military relationship, according to analysts.
In an interview to promote his recent book, Hegseth said: ""China's building an army specifically dedicated to defeating the United States of America."" (SCMP 14 November 2024)"
2583460132,2024-11-15 00:42:59+00:00,"RT @roulinski: Russia wants @PierrePoilievre to win
China wants him to win
India wants him to win
Trump wants him to win
If this does not s…"
2681934402,2024-11-15 00:42:58+00:00,RT @zhu_jingyang: El cómputo acumulado de inversión directa de #China en América Latina creció de 126.300 millones de dólares en 2015 a 600…
1557361066799206400,2024-11-15 00:42:58+00:00,@robert_spalding https://t.co/OKmDVhZ5SS
151410637,2024-11-15 00:42:58+00:00,RT @BoerBurgerB: China's maatregelen dreigen enorme schade aan te richten voor Nederlandse varkenshouders. De hoge extra belastingheffingen…
